"firm_name","n_offres","sector_main","avg_req_exp","top_skill_req","avg_wage","addr_dept_main"
"GALERIES LAFAYETTE",2,"Distribution, Commerce de gros",0,"Deep Learning, équipe, Intelligence artificielle",20900,"75"
"OUEST FRANCE",3,"Média, Internet, Communication",0,"Collaboration, équipe, Intelligence artificielle",NA,"35"
"KPMG",15,"Secteur informatique, ESN",0.43,"Anglais, Collaboration, Communication, Data Visualization, Deep Learning, équipe, Excel, Git, modélisation, Optimisation, Power BI, Programmation, Rapport, Reporting, Rigueur, Statistique, Tableau",NA,"92"
"AGH CONSULTING",4,"Industrie high-tech, Telecom",7,"Collaboration, Communication, équipe, Excel, Optimisation, Power BI, Reporting, SQL",NA,"92"
"SODEBO",1,"Industrie Agro-alimentaire",1,"",NA,"85"
"TRSB",4,"Secteur informatique, ESN",7,"Anglais, AWS, Collaboration, Français, Power BI, Rigueur",NA,"75"
"LYNX RH",1,"Services aux Entreprises",NA,"",NA,"49"
"OVHCLOUD",1,"Secteur informatique, ESN",NA,"",NA,"59"
"HR TEAM",3,"Secteur informatique, ESN",1,"équipe, Python, Spark, SQL",37000,"44"
"ALTELIOS TECHNOLOGY GROUP",10,"Secteur informatique, ESN",4,"AWS, Bases de donnée, Collaboration, équipe, Hadoop, Python, Rapport, Rigueur, SQL",43000,"92"
"U IRIS",2,"Secteur informatique, ESN",1,"Collaboration, équipe, Git, Intelligence artificielle, modélisation, Python, SQL",40000,"44"
"ASSURANT",1,"Banque, Assurance, Finance",0,"",NA,"13"
"BRITTANY FERRIES",1,"Tourisme, Hôtellerie, Loisirs",1,"",NA,"29"
"EDENRED",2,"Services aux Entreprises",NA,"Git",NA,"92"
"CRÉDIT AGRICOLE DU NORD EST",2,"Banque, Assurance, Finance",0,"équipe, Français",NA,"51"
"HELLOFRESH",2,"Distribution, Commerce de gros",1,"Python, SQL",NA,"75"
"AUBAY",3,"Secteur informatique, ESN",1,"Collaboration, équipe, Intelligence artificielle, Optimisation",NA,"75"
"BUREAU VERITAS",3,"Secteur informatique, ESN",0,"Anglais, Communication, SQL",NA,"69"
"ENGIE SOLUTIONS",1,"Secteur Energie, Environnement",0,"",NA,"93"
"ORANGE",3,"Industrie high-tech, Telecom",0,"équipe, Tableau",NA,"33"
"IZIWORK",3,"Services aux Entreprises",NA,"Anglais, Excel, Git, Python, SQL",40000,"44"
"MICHAEL PAGE",12,"Services aux Entreprises",0,"Azure, Base de donnée, Bases de donnée, équipe, modélisation, Rapport, Reporting, SQL",51500,"92"
"CAFPI",1,"Banque, Assurance, Finance",0,"",NA,"64"
"KELLY SERVICES",1,"Industrie Pharmaceutique, Biotechn., Chimie",1,"",NA,"91"
"HAYS",9,"Industrie Aéronautique, Aérospatial",0.89,"Bases de donnée, équipe",40125,"31"
"BPCE SA",8,"Banque, Assurance, Finance",7,"Adaptabilité, Autonome, Autonôme, Bases de donnée, Collaboration, Communication, Curiosité, équipe, Git, Power BI, Programmation, Python, Rapport, Reporting, Rigueur, Spark, SQL, Statistique",NA,"75"
"MICHELIN",5,"Industrie Manufacturière",0,"Azure, Bases de donnée, Collaboration, Créativité, Curiosité, Deep Learning, équipe, Français, Git, Intelligence artificielle, modélisation, NLP, PyTorch, Résolution de Problèmes, Rigueur",NA,"63"
"UNIBAIL-RODAMCO-WESTFIELD",2,"Immobilier",NA,"Collaboration, Communication, équipe, Excel, Git, Intelligence artificielle, Power BI, Proactif, Programmation, Python, Statistique, Tableau",NA,"75"
"TORTOISE",1,"Secteur informatique, ESN",NA,"",NA,"75"
"ARTEFACT",7,"Secteur informatique, ESN",0.33,"Anglais, Collaboration, Communication, Creativity, équipe, Excel, Français, Git, Résolution de Problèmes, SQL, Statistique, Tableau",NA,"75"
"ALSTOM",5,"Secteur Energie, Environnement",NA,"Anglais, Attention to Detail, Collaboration, Communication, Database, Deep Learning, English, équipe, Excel, French, Git, Plotly, Python, Statistics, Team Player",NA,"41"
"SOMFY",1,"Industrie high-tech, Telecom",NA,"",NA,"74"
"LCL",6,"Banque, Assurance, Finance",0.33,"Anglais, Bases de donnée, Collaboration, Deep Learning, équipe, Git, Intelligence artificielle, NLP, Programmation, Python, SQL, Statistique, VBA",NA,"94"
"INVENTING FOR LIFE",1,"Industrie Pharmaceutique, Biotechn., Chimie",NA,"",NA,"75"
"PRICEHUBBLE",7,"Immobilier, Secteur informatique, ESN",NA,"Attention to Detail, English, Forecasting, Programming, Python, PyTorch, Spark, SQL, TensorFlow",NA,"75"
"ORTHOGRID SYSTEMS",2,"Secteur informatique, ESN",NA,"C++, Communication, Deep Learning, English, Excel",NA,"67"
"MIRAKL",5,"Média, Internet, Communication, Secteur informatique, ESN",NA,"Autonome, Autonôme, AWS, Collaboration, Deep Learning, équipe, NLP, Python, PyTorch, Spark, SQL, TensorFlow",NA,"75"
"MANE",2,"Industrie Pétrolière, Pétrochimie",NA,"Anglais, Autonome, Autonôme, AWS, Bases de donnée, Excel, Git, modélisation, Programmation, Python, PyTorch, SQL, Statistique, TensorFlow",NA,"6"
"MERITIS",3,"Secteur informatique, ESN",NA,"équipe, Optimisation, Prévision",NA,"75"
"DESCARTES UNDERWRITING",11,"Banque, Assurance, Finance",0,"Autonomous, Communication, English, Excel, Forecasting, French, Python, Statistics",NA,"75"
"CNP ASSURANCES",6,"Banque, Assurance, Finance",0.67,"Collaboration, Curiosité, Deep Learning, équipe, Intelligence artificielle, Proactive, Python, Tableau",NA,"92"
"EQUATIV",4,"Secteur informatique, ESN",NA,"C++, Communication, Deep Learning, English, Excel, Git, Google Cloud, NLP, Optimization, Python, SQL, TensorFlow",NA,"75"
"MANUTAN",2,"Média, Internet, Communication",NA,"Deep Learning, équipe, Optimisation",NA,"95"
"WITHINGS",4,"Distribution, Commerce de gros",0,"Anglais, Communication, Curiosité, Deep Learning, équipe, Français, French, Programmation, Python, PyTorch, Rigueur, TensorFlow",NA,"92"
"VEEPEE_FRANCE",1,"Distribution, Commerce de gros",NA,"",NA,"75"
"ONEPOINT",6,"Secteur informatique, ESN",0,"Anglais, Communication, Créativité, équipe, Excel, Français, Python",NA,"75"
"STAGES",3,"Services aux Entreprises",0.33,"équipe, modélisation",15000,"92"
"GROUPAMA ASSURANCES MUTUELLES",5,"Banque, Assurance, Finance",0,"Anglais, Bases de donnée, Communication, Curiosité, équipe, Français, Git, Intelligence artificielle, modélisation, NLP, Proactif, Python, Rigueur, Statistique",NA,"75"
"CLS – COLLECTE LOCALISATION SATELLITES",1,"Industrie high-tech, Telecom",0,"Deep Learning",NA,"31"
"BELIEVE",2,"Média, Internet, Communication",7,"Anglais, AWS, équipe, Excel, Français, Git, Python, SQL, Statistique",NA,"75"
"FREE",3,"Média, Internet, Communication",0,"Collaboration, équipe, Excel, Optimisation, Statistique",NA,"75"
"AXA ASSURANCES",1,"Banque, Assurance, Finance",NA,"",NA,"92"
"CHANEL",3,"Industrie Manufacturière",NA,"Anglais, Collaboration, Curiosité, Deep Learning, équipe, Matplotlib, modélisation, Optimisation, Python, PyTorch, Reporting, Statistique, TensorFlow",NA,"75"
"STEREOLABS",4,"Secteur informatique, ESN",NA,"C++, Collaboration, Deep Learning, équipe, Intelligence artificielle, Python",NA,"75"
"CRÉDIT AGRICOLE CIB",1,"Banque, Assurance, Finance",0,"Deep Learning",NA,"92"
"UBISOFT",3,"Secteur informatique, ESN",0,"Anglais, équipe, Python, SQL, Statistique",NA,"75"
"PSA RETAIL FRANCE SAS",3,"Distribution, Commerce de gros",0,"Collaboration, Communication",NA,"78"
"CARDIOLOGS",2,"Secteur informatique, ESN",0,"Artificial intelligence, Autonomous, Collaboration, Deep Learning, English, French, Programming, Python, PyTorch, TensorFlow",NA,"75"
"POLYCONSEIL",4,"Secteur informatique, ESN",0,"AWS, équipe, Excel, Français, Git, modélisation, Optimisation, Programmation, Python",NA,"75"
"BOTIFY",2,"Services aux Entreprises",NA,"Collaboration, Communication, Communication Skills, English, Excel, Forecasting, French, Git, Natural Language Processing, Optimization, Python, SQL, Statistics, Team Player",NA,"75"
"PERNOD RICARD",9,"Industrie Agro-alimentaire",NA,"Anglais, Attention to Detail, Autonomous, Azure, Collaboration, Communication, Communication Skills, Curious, data collection, Database, Deep Learning, English, équipe, Excel, Français, French, Git, Optimization, Programming, Project Management, Python, Reporting, Spark, SQL, Statistics, Statistique, Tableau, Team Player",NA,"75"
"AIR LIQUIDE",8,"Industrie Pétrolière, Pétrochimie",0,"Anglais, Apprentissage profond, AWS, Azure, Communication, Curiosité, équipe, Excel, Français, Git, Intelligence artificielle, Matplotlib, Optimisation, Power BI, Python, Rapport, Statistique",NA,"75"
"KERING",1,"Distribution, Commerce de gros",NA,"",NA,"75"
"GROUPE PSA",1,"Industrie Auto, Meca, Navale",0,"",NA,"78"
"HELLO WATT",1,"Secteur Energie, Environnement",0,"",NA,"75"
"LESAFFRE",3,"Industrie Agro-alimentaire",NA,"Collaboration, Communication, Communication Skills, Data Visualization, Database, Deep Learning, English, Excel, French, Git, Matplotlib, Plotly, Programming, Python, Seaborn, SQL, Statistics, Tableau",NA,"59"
"BACK MARKET",4,"Média, Internet, Communication",0,"Artificial intelligence, Curious, Data Cleaning, English, Feature Engineering, French, Natural Language Processing, Preprocessing, Proactive, Programming, Python",NA,"75"
"AIRCALL",2,"Secteur informatique, ESN",0,"Autonomous, Communication, Communication Skills, Curious, English, Excel, French, Python, SQL",NA,"75"
"DEVOTEAM",3,"Secteur informatique, ESN",NA,"AWS, Azure, Créativité, Deep Learning, équipe, Excel, Git, modélisation, Python, SQL, Tableau",NA,"92"
"ILIAD",3,"Industrie high-tech, Telecom, Média, Internet, Communication",0,"Collaboration, équipe, Excel, Optimisation, Statistique",NA,"75"
"ANDRICE",1,"Services aux Entreprises",7,"",NA,"69"
"DANONE",5,"Industrie Agro-alimentaire",0,"Collaboration, Communication, English, équipe, Excel, Git, Python",NA,"75"
"MATMUT",2,"Banque, Assurance, Finance",1,"Deep Learning, Excel, Git, Intelligence artificielle, Python, PyTorch, TensorFlow, Time Series Analysis",NA,"76"
"ADIKTEEV",4,"Secteur informatique, ESN",NA,"Attention to Detail, Autonomous, AWS, Communication, Creativity, Database, Deep Learning, English, Excel, Français, French, Optimization, Python, Spark, SQL, Statistics, TensorFlow",NA,"75"
"ADOC TALENT MANAGEMENT",1,"Services aux Entreprises",NA,"",NA,"75"
"CERTIDEAL",2,"Distribution, Commerce de gros",0,"équipe, French",NA,"92"
"HSBC",2,"Banque, Assurance, Finance",NA,"Anglais, Autonome, Autonôme, équipe, Excel, Python, SQL",NA,"92"
"SHOWROOMPRIVÉ",1,"Média, Internet, Communication",0,"",NA,"93"
"GROUPM",1,"Média, Internet, Communication",NA,"",NA,"75"
"DATAWORDS",1,"Secteur informatique, ESN",NA,"",NA,"92"
"NEOXIA",2,"Secteur informatique, ESN",NA,"Deep Learning, Git, TensorFlow",NA,"75"
"BOULANGER",1,"Distribution, Commerce de gros",7,"",45000,"59"
"CRITEO",2,"Média, Internet, Communication",NA,"Communication, Communication Skills, Excel, Python, Statistics",NA,"75"
"ALMA",1,"Banque, Assurance, Finance",NA,"",NA,"75"
"MEETIC",1,"Média, Internet, Communication",NA,"Deep Learning",NA,"75"
"CHRISTIAN DIOR",2,"Industrie Manufacturière",7,"Deep Learning",NA,"92"
"MEILLEURTAUX",1,"Banque, Assurance, Finance, Média, Internet, Communication",NA,"",NA,"75"
"KYRIBA",2,"Banque, Assurance, Finance",NA,"Artificial intelligence, Communication, Communication Skills, English, Python, Statistics",NA,"92"
"PUBLICIS SAPIENT",1,"Média, Internet, Communication",NA,"",NA,"75"
"BEARINGPOINT FRANCE",3,"Services aux Entreprises",NA,"Anglais, Deep Learning, équipe, Reporting",NA,"92"
"BARTLE",1,"Services aux Entreprises",NA,"",NA,"75"
"ITNOVEM",1,"Secteur informatique, ESN",NA,"",NA,"93"
"SIA PARTNERS",2,"Services aux Entreprises",NA,"Anglais, C++, équipe, Excel, Français, Intelligence artificielle, Optimisation, Prévision, Programmation, Python, Statistique",NA,"75"
"DGTL PERFORMANCE",2,"Secteur informatique, ESN",NA,"Autonomous, Azure, Curious, Database, English, Power BI, SQL",NA,"78"
"KELKOO LTD",1,"Secteur informatique, ESN",NA,"Deep Learning",NA,"38"
"EUROPCAR MOBILITY GROUP",2,"Transport, Logistique",NA,"",NA,"75"
"AB TASTY",1,"Secteur informatique, ESN",NA,"",NA,"75"
"DEEZER",3,"Média, Internet, Communication",0,"Attention to Detail, Business Acumen, Data Visualization, English, French, SQL, Tableau",NA,"75"
"BRGM",5,"Service public des collectivités territoriales",0,"Anglais, Communication, Curiosité, Deep Learning, équipe, Git, modélisation, Optimisation, Prévision, Programmation, Python, Rapport, Statistique",NA,"45"
"SANOFI",7,"Industrie Pharmaceutique, Biotechn., Chimie",NA,"Anglais, Artificial intelligence, Attention to Detail, AWS, Azure, Collaboration, Communication, Communication Skills, Data Visualization, Database, English, Excel, Git, Optimization, Plotly, Power BI, Presentation Skills, Proactive, Programming, Python, Spark, SQL, Tableau, Team Player",NA,"69"
"GROUPAMA ASSET MANAGEMENT",1,"Banque, Assurance, Finance",1,"",NA,"75"
"EKIMETRICS",6,"Secteur informatique, ESN",0,"Anglais, Bases de donnée, Collaboration, Communication, Contrôle de version, Créativité, Curiosité, Deep Learning, équipe, Excel, Git, Optimisation, Programmation, Python, PyTorch, Statistique, TensorFlow",NA,"75"
"GAMELOFT",2,"Secteur informatique, ESN",0,"Autonomous, Communication, English, Feature Engineering, French, Git, Matplotlib, Python, Seaborn, SQL, Team Player",NA,"75"
"NUMBERLY",4,"Média, Internet, Communication",NA,"Anglais, Autonome, Autonôme, Curiosité, Curious, Data Visualization, English, équipe, Proactif, Python, SQL, Tableau, Visualisation de donnée",NA,"75"
"AMAZON",3,"Média, Internet, Communication",0,"AWS, Communication, Communication Skills, Deep Learning, Time Management",NA,"33"
